"datetime","player","message"
"30/09/2025 11:57:56","Maya","Yes, we've got an IR(incident response) retainer with Cyvantics Security"
"30/09/2025 11:57:55","Maya","Yes, we've got an IR(incident response) retainer with Cyvantics Security"
"30/09/2025 11:58:01","Maya","@shivanand hebballi let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?"
"30/09/2025 11:58:00","Maya","@shivanand hebballi let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?"
"30/09/2025 11:58:05","Maya","I'd say one senior person each from security, platform, and engineering. Also add Tanya, tasks could be platform intensive"
"30/09/2025 11:58:04","Maya","I'd say one senior person each from security, platform, and engineering. Also add Tanya, tasks could be platform intensive"
"30/09/2025 11:58:10","Maya","Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage, followed by forensics on it"
"30/09/2025 11:58:12","Maya","Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage, followed by forensics on it"
"30/09/2025 11:58:19","shivanand hebballi","<@U0480TP9ZA5> can join from platform"
"30/09/2025 11:58:21","Maya","Meanwhile, I've got this from Cyvantics. @shivanand hebballi, can you help track the steps and coordinate?"
"30/09/2025 11:58:20","Maya","Meanwhile, I've got this from Cyvantics. @shivanand hebballi, can you help track the steps and coordinate?"
"30/09/2025 11:58:22","Maya","<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>"
"30/09/2025 11:58:27","Hamed","Hi"
"30/09/2025 11:58:27","Maya","We've got isolation steps in the playbook, but before we dive in, can you paste that list here? I'll help team run through it"
"30/09/2025 11:58:28","Maya","We've got isolation steps in the playbook, but before we dive in, can you paste that list here? I'll help team run through it"
"30/09/2025 11:58:31","shivanand hebballi","<@U047N6LHU0K> can join as well for the dev side"
"30/09/2025 11:58:35","Daniel","Sure, i am here"
"30/09/2025 11:59:28","shivanand hebballi","<@U03BY6AJZMM> please take a look for the below steps and action it
Steps for Isolation:


Steps to be done, mentioned along with the *owning* team
1. Disconnect the infected server -&gt; Platforms 
2. Cut off infrastructure traffic -&gt; Platforms
3. Disconnect DB &amp; freeze backup -&gt; Application
4. Detach from Shared Resource -&gt; Platforms
5. Take snapshots (Disk &amp; Memory) -&gt; Ask team
6. Kill suspicious process or activity -&gt; Platforms
"
"30/09/2025 11:59:59","shivanand hebballi","<@U047N6LHU0K> could you please take a look on point 3 above"
"30/09/2025 12:00:31","shivanand hebballi","and also, please confirim how long it will take to complete above changes?"
"30/09/2025 12:00:38","Maya","Can you please confirm with business before we go ahead"
"30/09/2025 12:00:37","Maya","Can you please confirm with business before we go ahead"
"30/09/2025 12:01:06","Tanya","Checking..."
"30/09/2025 12:01:15","Tanya","From what I'm seeing, the impact seems limited to the checkout servers. We haven't spotted similar symptoms on the others so far"
"30/09/2025 12:01:16","Tanya","From what I'm seeing, the impact seems limited to the checkout servers. We haven't spotted similar symptoms on the others so far"
"30/09/2025 12:01:21","Maya","Also, I checked. All other servers have security agents running and reporting normally. The only ones missing agents were the checkout servers - which feels a bit off"
"30/09/2025 12:01:22","Maya","Also, I checked. All other servers have security agents running and reporting normally. The only ones missing agents were the checkout servers - which feels a bit off"
"30/09/2025 12:01:33","Maya","I've given write access to Tanya, Hamed, Daniel, and myself"
"30/09/2025 12:01:32","Maya","I've given write access to Tanya, Hamed, Daniel, and myself"
"30/09/2025 12:01:36","Tanya","Disconnecting the checkout servers from the infra now"
"30/09/2025 12:01:39","Daniel","I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist"
"30/09/2025 12:01:38","Daniel","I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist"
"30/09/2025 12:01:39","shivanand hebballi","yes please"
"30/09/2025 12:01:40","Hamed","I'll verify if any shared storage is still attached to the checkout DB"
"30/09/2025 12:01:41","Hamed","I'll verify if any shared storage is still attached to the checkout DB"
"30/09/2025 12:01:52","Daniel","Step 3 done, DB connection to checkout is now cut"
"30/09/2025 12:01:53","Daniel","Step 3 done, DB connection to checkout is now cut"
"30/09/2025 12:01:55","Tanya","Step 1 done, Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic"
"30/09/2025 12:01:54","Tanya","Step 1 done, Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic"
"30/09/2025 12:01:58","Hamed","Step 4 confirmed, No shared storage attached to checkout, which makes sense since checkout has its standalone storage"
"30/09/2025 12:01:56","Hamed","Step 4 confirmed, No shared storage attached to checkout, which makes sense since checkout has its standalone storage"
"30/09/2025 12:02:02","Tanya","Step 2 completed, Infra is now fully cut off from the outside world. That means the website will remain completely down until we recover"
"30/09/2025 12:02:03","Tanya","Step 2 completed, Infra is now fully cut off from the outside world. That means the website will remain completely down until we recover"
"30/09/2025 12:02:07","Maya","Step 5 done, Cyvantics has completed taking snapshots of the checkout servers and database. They've now moved on to forensics. @Hamed, we're good to kill the script now"
"30/09/2025 12:02:09","Maya","Step 5 done, Cyvantics has completed taking snapshots of the checkout servers and database. They've now moved on to forensics. @Hamed, we're good to kill the script now"
"30/09/2025 12:02:17","Hamed","Step 6 done, The Script has been killed. @shivanand hebballi let us know and double-check if anything else is pending on our side"
"30/09/2025 12:02:18","Hamed","Step 6 done, The Script has been killed. @shivanand hebballi let us know and double-check if anything else is pending on our side"
"30/09/2025 12:03:33","Maya","Yes, we must have a backup. Platform team can confirm us"
"30/09/2025 12:03:31","Maya","Yes, we must have a backup. Platform team can confirm us"
"30/09/2025 12:03:40","Hamed","Correct, we do have backup which only runs at 2AM. Latest is yesterday's. We'll lose today's orders"
"30/09/2025 12:03:41","Hamed","Correct, we do have backup which only runs at 2AM. Latest is yesterday's. We'll lose today's orders"
"30/09/2025 12:03:43","shivanand hebballi","please do check this as we well:"
"30/09/2025 12:03:43","Maya","Isolation is complete. We're good to move toward restoration using the backup storage now"
"30/09/2025 12:03:45","Maya","Isolation is complete. We're good to move toward restoration using the backup storage now"
