"datetime","player","message"
"01/10/2025 13:28:38","Maya","@Tim Redding let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?"
"01/10/2025 13:28:42","Maya","I'd say one senior person each from security, platform, and engineering. Also add Tanya, tasks could be platform intensive"
"01/10/2025 13:29:02","Maya","I've got a plan"
"01/10/2025 13:29:20","Tim Redding","Lets pull in <@U047N6LHU0K> <@U03BY6AJZMM>"
"01/10/2025 13:29:31","Tim Redding","and <@U03BY6AJZMM>"
"01/10/2025 13:29:36","Maya","I've called them"
"01/10/2025 13:29:53","Maya","Yes, we've got an IR(incident response) retainer with Cyvantics Security"
"01/10/2025 13:29:54","Hamed","I'm up"
"01/10/2025 13:30:00","Daniel","In the chat"
"01/10/2025 13:30:08","Tim Redding","What do we need to do to recover from this"
"01/10/2025 13:30:08","Maya","Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage, followed by forensics on it"
"01/10/2025 13:30:12","Tanya","Yes"
"01/10/2025 13:30:18","Maya","Meanwhile, I've got this from Cyvantics. @Tim Redding, can you help track the steps and coordinate?"
"01/10/2025 13:30:20","Maya","<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>"
"01/10/2025 13:30:25","Maya","We've got isolation steps in the playbook, but before we dive in, can you paste that list here? I'll help team run through it"
"01/10/2025 13:30:52","Tim Redding","Steps for Isolation:

Steps to be done, mentioned along with the *owning* team
1. Disconnect the infected server -&gt; Platforms 
2. Cut off infrastructure traffic -&gt; Platforms
3. Disconnect DB &amp; freeze backup -&gt; Application
4. Detach from Shared Resource -&gt; Platforms
5. Take snapshots (Disk &amp; Memory) -&gt; Ask team
6. Kill suspicious process or activity -&gt; Platforms
"
"01/10/2025 13:31:00","Maya","@Tim Redding coordinate the steps with me and handle business comms. I'll execute the steps for isolation and restoration"
"01/10/2025 13:31:11","Maya","I've given write access to Tanya, Hamed, Daniel, and myself"
"01/10/2025 13:31:13","Tim Redding","<@U03BY6AJZMM> Can you start isolating."
"01/10/2025 13:31:15","Tanya","Disconnecting the checkout servers from the infra now"
"01/10/2025 13:31:17","Daniel","I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist"
"01/10/2025 13:31:19","Hamed","I'll verify if any shared storage is still attached to the checkout DB"
"01/10/2025 13:31:32","Daniel","Step 3 done, DB connection to checkout is now cut"
"01/10/2025 13:31:34","Tanya","Step 1 done, Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic"
"01/10/2025 13:31:36","Hamed","Step 4 confirmed, No shared storage attached to checkout, which makes sense since checkout has its standalone storage"
"01/10/2025 13:31:37","Tim Redding","Let me know once all tasks are completed."
"01/10/2025 13:31:42","Tanya","Step 2 completed, Infra is now fully cut off from the outside world. That means the website will remain completely down until we recover"
"01/10/2025 13:31:47","Maya","Step 5 done, Cyvantics has completed taking snapshots of the checkout servers and database. They've now moved on to forensics. @Hamed, we're good to kill the script now"
"01/10/2025 13:31:57","Hamed","Step 6 done, The Script has been killed. @Tim Redding let us know and double-check if anything else is pending on our side"
"01/10/2025 13:32:51","Tim Redding","<@U03BY6AJZMM> Do we have a backup?"
"01/10/2025 13:33:01","Maya","I think we are good for isolation"
"01/10/2025 13:33:08","Maya","Yes, we must have a backup. Platform team can confirm us"
