DateTime,Channel,Name,Message
08/10/2025 13:10,Business Comms 6224,U03CD3S4A0J,<@U03CD3S4A0J> has joined the channel
08/10/2025 13:10,Online Boutique 6224,U03CD3S4A0J,<@U03CD3S4A0J> has joined the channel
08/10/2025 13:10,Private Comms 6224,U03CD3S4A0J,<@U03CD3S4A0J> has joined the channel
08/10/2025 13:10,Business Comms 6224,U07TDBSFRED,<@U07TDBSFRED> has joined the channel
08/10/2025 13:10,Business Comms 6224,U03BY6AJZMM,<@U03BY6AJZMM> has joined the channel
08/10/2025 13:10,Business Comms 6224,U03C9QC6HHB,<@U03C9QC6HHB> has joined the channel
08/10/2025 13:10,Business Comms 6224,U03MH3MV62J,<@U03MH3MV62J> has joined the channel
08/10/2025 13:10,Business Comms 6224,U03TKA1PRB9,<@U03TKA1PRB9> has joined the channel
08/10/2025 13:10,Business Comms 6224,U046ZV3A6TU,<@U046ZV3A6TU> has joined the channel
08/10/2025 13:10,Business Comms 6224,U048D1HGP5M,<@U048D1HGP5M> has joined the channel
08/10/2025 13:10,Business Comms 6224,U05T5GU82RL,<@U05T5GU82RL> has joined the channel
08/10/2025 13:10,Business Comms 6224,U063QU0F60M,<@U063QU0F60M> has joined the channel
08/10/2025 13:10,Business Comms 6224,U06511E4ZSA,<@U06511E4ZSA> has joined the channel
08/10/2025 13:10,Business Comms 6224,U06FL69C6JF,<@U06FL69C6JF> has joined the channel
08/10/2025 13:10,Business Comms 6224,U06HZTCU3EZ,<@U06HZTCU3EZ> has joined the channel
08/10/2025 13:10,Business Comms 6224,U06LRHG8SSZ,<@U06LRHG8SSZ> has joined the channel
08/10/2025 13:10,Business Comms 6224,U072WJ4V5LP,<@U072WJ4V5LP> has joined the channel
08/10/2025 13:10,Business Comms 6224,U073FURH2PN,<@U073FURH2PN> has joined the channel
08/10/2025 13:10,Business Comms 6224,U0793RSL46R,<@U0793RSL46R> has joined the channel
08/10/2025 13:10,Business Comms 6224,U07KYBU5U9H,<@U07KYBU5U9H> has joined the channel
08/10/2025 13:10,Business Comms 6224,U088NNB60QK,<@U088NNB60QK> has joined the channel
08/10/2025 13:10,Business Comms 6224,U08MJ4UMZ7T,<@U08MJ4UMZ7T> has joined the channel
08/10/2025 13:10,Business Comms 6224,U08UR5Q0N79,<@U08UR5Q0N79> has joined the channel
08/10/2025 13:10,Business Comms 6224,U047KAE5JLV,<@U047KAE5JLV> has joined the channel
08/10/2025 13:10,Business Comms 6224,U047N6LHU0K,<@U047N6LHU0K> has joined the channel
08/10/2025 13:10,Business Comms 6224,U047N6LUYJX,<@U047N6LUYJX> has joined the channel
08/10/2025 13:10,Business Comms 6224,U047N6MGH19,<@U047N6MGH19> has joined the channel
08/10/2025 13:10,Business Comms 6224,U047N90R8KU,<@U047N90R8KU> has joined the channel
08/10/2025 13:10,Business Comms 6224,U047N91SRH8,<@U047N91SRH8> has joined the channel
08/10/2025 13:10,Business Comms 6224,U047N93BV7U,<@U047N93BV7U> has joined the channel
08/10/2025 13:10,Business Comms 6224,U0480TP9ZA5,<@U0480TP9ZA5> has joined the channel
