session_start,player,id,name,session_id,GUOT,what_to_take_into_next_incident,what_was_surprising,session_id,minutes,duration
12/01/2026 13:05,pradeep.c,7368,The Chain Workshop,7368,10,We need to understand the dependencies of the services.,I thought that the changes are independent and even after rolling back one change issue was not resolved,7368,,
14/01/2026 11:10,vallabh.vyas,7402,The Chain Workshop,7402,10,which should infra team also in conversation not just dev.,3 releases related to same service on the same day. restarting the services.,7402,24,24m 03s
15/01/2026 12:07,ranjan.padhi,7427,The Big Investor Workshop,7427,10,I learned how to communicate and check the issue.,All was ok.,7427,,
16/01/2026 10:04,chris.watts,7445,Bezs Beatles Day!,7445,10,I didnt finish it so it gave me lots to think about,I found it quite taxing and was not expecting it to be that complex,7445,,
16/01/2026 12:02,vaishnavi.b,7449,The Switch,7449,10,Reach out to right people,Nothing as such,7449,,
16/01/2026 13:12,swetha.nayudu,7450,The Switch,7450,10,Updating from Sev2 to Sev1 when needed,DDOS,7450,20,20m 41s
21/01/2026 13:09,ramesh.matta,7486,The Unknown Unknown,7486,10,yes..,UAT DB back up was not expected ..,7486,27,27m 57s
22/01/2026 10:05,latif.khan,7497,Roblox Workshop,7497,9,chase 3rd party vendor for updates and request RCA,Two issues were reported,7497,,
23/01/2026 10:05,chris.watts,7514,Bezs Beatles Day!,7514,10,I have to involve more people and often push people pride in changes aside to get where I need to be and resolve the incident,"I had decisions to make and it was very stressful, It wasnt linear",7514,15,15m 26s
29/01/2026 10:06,chris.watts,7553,The Big Investor Workshop,7553,10,Have to keep asking questions to get something that will pinpoint the issue,"I wasnt  getting as much feedback from the team, so had to understand the architecture in order to try and pinpoint it myself. There was no papertrail to follow.",7553,18,18m 22s
05/02/2026 10:05,latif.khan,7631,The Switch,7631,9,This drill went fairly smoothly,"No, i suspected from the start a DDOS attack",7631,21,21m 37s
06/02/2026 10:03,chris.watts,7645,Rumours,7645,9,That all incidents are not Major,I was prepared for an incident and surprised it ended up being quite minimal,7645,14,14m 33s
12/02/2026 14:06,swetha.nayudu,7702,The Unknown Unknown,7702,10,Taking a command and directing team to one solution.,UAT data refresh - as mostly engineers are confident that they won't mess up with env's. And convincing then to take particular approach,7702,28,28m 12s
13/02/2026 10:03,chris.watts,7718,Missing Delivery,7718,10,"Severity level had to change, probably should of sized it up better based on the defined criteria for severity",Standard route to resolve seemed obvious but was not. Had to invoke 3rd party.,7718,23,23m 39s
13/02/2026 12:06,vaishnavi.b,7721,Version confusion,7721,10,Understand the issue clearly and take necessary action,Nothing as such,7721,,
13/02/2026 14:06,praveen.sadul,7722,The Chain Workshop,7722,8,i might ask network team for evidence.,its seems connection issue and network team saying there is not network issue.,7722,,
19/02/2026 14:03,ramesh.matta,7774,Version confusion,7774,8,Not sure as of now . As I was confused with this incident..,"It was completely surprising what was causing the issue , few people say there is no issue and few are saying there is slowness and I am unable to reproduce that",7774,,
20/02/2026 14:05,gowthamkumar.b,7786,The Chain Workshop,7786,10,Every drill i participate learning that quick interaction and response to the incident and managing panic situation handling,incident which is with region specific and later it became global it was some of panic situation.,7786,20,20m 11s
