index,datetime,player,channel,message
0,2025-07-09 09:04:36,Bez,online-boutique-4895,"Hey everyone. I'm pumped today about our flash sale"
1,2025-07-09 09:04:42,Bez,online-boutique-4895,"You know it's been 53 years since the Beatles released Abbey Road right? My favourite album"
2,2025-07-09 09:04:47,Tanya,online-boutique-4895,"53 years already?? Wow that makes me feel old..."
3,2025-07-09 09:04:52,Bez,online-boutique-4895,"Indeed! We're celebrating today by promoting a flash sale on retro items from 1969"
4,2025-07-09 09:04:58,Bez,online-boutique-4895,"I re-watched Paul McCartney's Glastonbury set last night to get in the mood!"
6,2025-07-09 09:05:48,marcin.nowok,business-comms-4895,"*Incident Number INC100065:* Test P1"
7,2025-07-09 09:07:38,PLAYER,online-boutique-4895,"Clicked undefined button"
8,2025-07-09 09:07:48,PLAYER,online-boutique-4895,"Clicked org button"
9,2025-07-09 09:07:54,PLAYER,online-boutique-4895,"Clicked undefined button"
10,2025-07-09 09:08:25,PLAYER,online-boutique-4895,"Clicked Start button"
12,2025-07-09 09:08:26,Tinus,online-boutique-4895,"That sounds great Bez. Huge Beatles fan myself here"
13,2025-07-09 09:08:31,Tinus,online-boutique-4895,"We've just deployed a couple of changes into prod earlier but we should be all good"
14,2025-07-09 09:08:37,Tinus,online-boutique-4895,"We're a step closer to allowing folks to pay for items from the 1960s with Bitcoin thanks to Daniel!"
15,2025-07-09 09:08:40,Daniel,online-boutique-4895,"Think of it like time travelling!"
16,2025-07-09 09:08:44,Bez,online-boutique-4895,"Wow good work Daniel! Looking forward to seeing it in action in prod"
17,2025-07-09 09:08:48,Tinus,online-boutique-4895,"How's the test-driven development going?"
18,2025-07-09 09:08:53,Daniel,online-boutique-4895,"TDDs going well. We are as solid as a rock! Though don't ask me what the Liskov Substitution Principle is..."
19,2025-07-09 09:09:00,Shay,online-boutique-4895,"erm - funny you should say that Daniel I'm just testing my checkout service change in prod and I can't complete the payment - something's up"
20,2025-07-09 09:09:06,Shay,online-boutique-4895,"I hope my checkout service change is all good. Can someone check its not just me? And before you ask yes I've cleared my cookies"
21,2025-07-09 09:09:13,Tanya,online-boutique-4895,"Sorry Daniel it's not looking good on my end either"
22,2025-07-09 09:09:16,Tinus,online-boutique-4895,"Uh oh...here we go again"
23,2025-07-09 09:09:20,Tinus,online-boutique-4895,"@Marcin Nowok can you ""Size up the Issue"" please and keep us informed"
24,2025-07-09 09:09:22,Bob,online-boutique-4895,"From what I can see it looks like we are still getting orders through"
25,2025-07-09 09:09:30,Daniel,online-boutique-4895,"It can't be payments service the new code shouldn't be invoked yet"
26,2025-07-09 09:09:36,Daniel,online-boutique-4895,"@Marcin Nowok it's worth having a look at the checkout service change first"
27,2025-07-09 09:09:40,Shay,online-boutique-4895,"@Marcin Nowok what should I look at first?"
28,2025-07-09 09:09:59,Bez,online-boutique-4895,"Get this sorted ASAP!!!"
30,2025-07-09 09:10:07,Daniel,online-boutique-4895,"@Bob it could be UK only issue? I can also see orders coming through"
31,2025-07-09 09:11:53,Shay,online-boutique-4895,"I see the same error"
32,2025-07-09 09:12:17,PLAYER,online-boutique-4895,"Danielcan you confirm if it's only limited to UK?"
34,2025-07-09 09:12:22,Daniel,online-boutique-4895,"@bob"
35,2025-07-09 09:12:24,Bob,online-boutique-4895,"I will gather some reports and come back in a few"
36,2025-07-09 09:12:44,PLAYER,online-boutique-4895,"Shaywhat does the error message say?"
38,2025-07-09 09:13:10,Bob,online-boutique-4895,"It looks like this is coming from UK only; customers are reporting issues with payments. So far we have received more than 400+ reports"
40,2025-07-09 09:13:13,marcin.nowok,business-comms-4895,"*Incident Number INC100065:* Checkout issue P1"
43,2025-07-09 09:13:17,Shay,online-boutique-4895,"Looking at it now"
44,2025-07-09 09:13:41,Bez,business-comms-4895,"Not again"
45,2025-07-09 09:13:46,Bez,online-boutique-4895,"Is this global ?"
46,2025-07-09 09:13:52,PLAYER,online-boutique-4895,"Shay you need any assistance?"
47,2025-07-09 09:13:52,Shay,online-boutique-4895,"It says 'Failed to charge a card.' Looks like a payment or checkout issue"
