index,datetime,player,channel,delta,,message,further notes
0,02/12/2025 10:10,Bez,online-boutique-6984,,,Hey team :) can everyone listen up for today's briefing?,
1,02/12/2025 10:10,Bez,online-boutique-6984,,,Let me know if you're here,
2,02/12/2025 10:10,Hamed,online-boutique-6984,,,I'm here :grin:,
3,02/12/2025 10:10,Daniel,online-boutique-6984,,,Me too!,
4,02/12/2025 10:10,Shay,online-boutique-6984,,,Present sir!,
5,02/12/2025 10:10,Bob,online-boutique-6984,,,here,
6,02/12/2025 10:10,Tinus,online-boutique-6984,,,Morning boss,
7,02/12/2025 10:10,Tanya,online-boutique-6984,,,:wave:,
8,02/12/2025 10:10,Bez,online-boutique-6984,,,Nice one folks! Cheer up Bob I've got some good news :smiley:,
10,02/12/2025 10:12,player1,online-boutique-6984,0,,Clicked Start button,
11,02/12/2025 10:12,Bez,online-boutique-6984,0,,As you know last month we invested considerably on buying advertisement in Roblox (for those who have not heard of the initiative yet: we are advertising in Metaverse),
13,02/12/2025 10:13,Bez,online-boutique-6984,1,,The numbers so far look great uptake was more then I expected and we see loads of traffic generated from Roblox,
14,02/12/2025 10:13,Tinus,online-boutique-6984,1,,That is a great news Bez but we are getting in to unchartered territory with the load levels in production,
15,02/12/2025 10:13,Tinus,online-boutique-6984,1,,IT team please be super vigilant on the systems. Load related failures are very unpredictable,
16,02/12/2025 10:13,Bez,online-boutique-6984,1,,Ah fair enough Tinus. Keep it online and we'll be swimming in money :) :money_with_wings:,
17,02/12/2025 10:13,Tanya,online-boutique-6984,1,,What is Roblox?,
18,02/12/2025 10:13,Hamed,online-boutique-6984,1,,Tanya revealing her age,
19,02/12/2025 10:13,Shay,online-boutique-6984,1,,Currently googling it... :laughing:,
20,02/12/2025 10:13,Bez,online-boutique-6984,1,,Don't be so rude!,
21,02/12/2025 10:13,Bez,online-boutique-6984,1,,Put simply Roblox is a kool virtual world for young people,
22,02/12/2025 10:13,Bez,online-boutique-6984,1,,Any other questions Tanya?,
23,02/12/2025 10:13,Tanya,online-boutique-6984,1,,Nope I'll just ask my son instead,
24,02/12/2025 10:13,Bez,online-boutique-6984,1,,Great! that's it then,
25,02/12/2025 10:13,Bez,online-boutique-6984,1,,Good luck Stay on it sales team,
26,02/12/2025 10:13,Tinus,online-boutique-6984,1,,Ah I've seen alerts on ad-service,
27,02/12/2025 10:13,Tinus,online-boutique-6984,1,,They look quite worrying,
28,02/12/2025 10:13,Bob,online-boutique-6984,1,,Guys big problem!!,
29,02/12/2025 10:14,Bob,online-boutique-6984,2,,I've got reports from multiple users that they can't access the site,
30,02/12/2025 10:14,Bob,online-boutique-6984,2,,Looks like we've got a random site failure,
31,02/12/2025 10:14,Tinus,online-boutique-6984,2,,the load was quite high could be a load issue,
32,02/12/2025 10:14,player1,online-boutique-6984,2,,checking,
33,02/12/2025 10:14,Daniel,online-boutique-6984,2,,Checking those alerts for adservice...,
34,02/12/2025 10:14,Shay,online-boutique-6984,2,,what's going on? what do I need to do,
35,02/12/2025 10:14,Daniel,online-boutique-6984,2,,I made a change to that last sprint... let me check,
36,02/12/2025 10:14,player1,online-boutique-6984,2,STAR-Reviewed changes,can someone send me list of recent changes pls?,
37,02/12/2025 10:14,Bez,online-boutique-6984,2,,Guys someone tell me what's happening,
38,02/12/2025 10:14,Bez,online-boutique-6984,2,,Let's not ruin this good day,
39,02/12/2025 10:14,Daniel,online-boutique-6984,2,,Adservice is not running!,
40,02/12/2025 10:14,Tanya,online-boutique-6984,2,,We're on it Bez!,
42,02/12/2025 10:14,Shay,online-boutique-6984,2,,Sure I will send it,
43,02/12/2025 10:14,player1,online-boutique-6984,2,STAR-Attempt to replicate the issue,site is working for me,Confirms site is working
44,02/12/2025 10:15,Shay,online-boutique-6984,3,,Here hope this helps <https://uptime-labs.atlassian.net/wiki/external/NmIyMzM1MDAxOTcxNDNjZWExYWQ4MjNmYWY5Y2Y2ZGU>,
46,02/12/2025 10:15,player1,online-boutique-6984,3,,ty,
47,02/12/2025 10:15,player1,online-boutique-6984,3,,Shay can you take look in your recent changes in AD services,Correlates Adservice outage to AD service change
48,02/12/2025 10:15,Shay,online-boutique-6984,3,,I was just playing Roblox before coming online looking for our ad and I couldn’t find it. I thought it was going live today?,
50,02/12/2025 10:15,Shay,online-boutique-6984,3,,Sure i can,
51,02/12/2025 10:16,player1,online-boutique-6984,4,,ty,
52,02/12/2025 10:16,player1,online-boutique-6984,4,,CHG89356 this one,Clarifies change to shay (without using name)
53,02/12/2025 10:16,player1,online-boutique-6984,4,,5 minutes ago,
54,02/12/2025 10:16,Daniel,online-boutique-6984,4,,Yes ads were supposed to be on today,
55,02/12/2025 10:16,player1,online-boutique-6984,4,,i will open an incident,
56,02/12/2025 10:16,player1,online-boutique-6984,4,STAR-Qualify the problem,so lets clarify Adservice is not running?,Clarifying impact of issue
59,02/12/2025 10:17,player1,online-boutique-6984,5,comms_in_5_mins,Adservice is not running P2,
60,02/12/2025 10:17,player1,business-comms-6984,5,"incident_record, STAR-Formally assign criticality level to the incident",*Incident Number INC100068:* Adservice is not running P2,Raises issue as P2
63,02/12/2025 10:17,Daniel,online-boutique-6984,5,,Correct looks like ad service is down,
64,02/12/2025 10:17,Shay,online-boutique-6984,5,,Bob mentioned something about site being down,
65,02/12/2025 10:17,player1,online-boutique-6984,5,STAR-Restoration over root cause analysis,ty lets first bring ad services up and we can investigate futher details,
67,02/12/2025 10:17,player1,business-comms-6984,5,,hello Ad services is currently down,
68,02/12/2025 10:18,player1,business-comms-6984,6,,we are checking with Shay what is going on,
69,02/12/2025 10:18,Tinus,business-comms-6984,6,,Do we know how long it has been down for?,
