datetime,player,channel,diff,message
19/02/2026 14:03,uptimelabs,online-boutique-7774,,"Welcome to Version Confusion, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once youre ready just click start to begin"
19/02/2026 14:09,tanya,online-boutique-7774,5.62,Hey guys im seeing an issue with the website loading slowly
19/02/2026 14:09,tanya,online-boutique-7774,5.63,Anyone else experaning this?
19/02/2026 14:09,shay,online-boutique-7774,5.67,No all ok for me
19/02/2026 14:09,daniel,online-boutique-7774,5.68,No issue for me
19/02/2026 14:09,daniel,online-boutique-7774,5.70,What browser and version of it are you using Tanya?
19/02/2026 14:09,tanya,online-boutique-7774,5.73,Im using chrome and let me check the version
19/02/2026 14:09,daniel,online-boutique-7774,5.77,Ok if it is V105.0 this is a recorded bug with a ticket in the backlog
19/02/2026 14:09,tanya,online-boutique-7774,5.78,Yeah it is V105.0
19/02/2026 14:09,tanya,online-boutique-7774,5.80,Should we not raise an incident for this? I know I can update the version and it will stop effecting me.
19/02/2026 14:09,tanya,online-boutique-7774,5.83,But could this not be effecting customers?
19/02/2026 14:09,daniel,online-boutique-7774,5.87,Had a look at the market share of people using this version it is only at 0.09%
19/02/2026 14:09,tanya,online-boutique-7774,5.93,Still not sure if it should not be an incidnt. @ramesh.matta-dominos.co.uk What do you think? 
19/02/2026 14:10,PLAYER,online-boutique-7774,6.75,"HI @bob , May I know the impact on the issue that is reported website is loading slow ?"
19/02/2026 14:10,uptimelabs,online-boutique-7774,6.85,:star: Asking questions to validate impact of the problem
19/02/2026 14:10,bob,online-boutique-7774,6.95,I'll check the reports now
19/02/2026 14:10,bob,online-boutique-7774,7.43,I do have a few reports from users complaining about timeouts and slow load times
19/02/2026 14:10,PLAYER,online-boutique-7774,7.53,Please let me know if this is happening on all regions or only particular region?
19/02/2026 14:11,bob,online-boutique-7774,7.77,The reports I see right now aren't coming from one specific region
19/02/2026 14:12,daniel,online-boutique-7774,8.62,I don't see the point in raising a ticket for a simple bug
19/02/2026 14:12,PLAYER,online-boutique-7774,8.65,May I know the impact of this on Business and Customers?
19/02/2026 14:12,bob,online-boutique-7774,9.00,Ohh the reports is actually showing that 20% of our customers are experiencing an issue where it is taking three times as long the website to load. Seeing a few timeouts occurring as well
19/02/2026 14:13,bob,online-boutique-7774,10.02,It appears this has been ongoing for over two weeks as the reports date that far back. I can also see that there has been a drop in sales of 10% compared to the average over a two week period
19/02/2026 14:13,daniel,online-boutique-7774,10.55,"We logged it as a bug back then, we've just had a lot of feature work this sprint"
19/02/2026 14:14,PLAYER,online-boutique-7774,11.35,Incident p1 website experiencing slowness impacting 20% customers
19/02/2026 14:14,uptimelabs,online-boutique-7774,11.42,:bulb: Declare an incident.
19/02/2026 14:14,uptimelabs,online-boutique-7774,11.42,:star: Qualify the problem
19/02/2026 14:15,PLAYER,online-boutique-7774,12.07,Incident p2 website experiencing slowness impacting 20% customers
19/02/2026 14:15,PLAYER,online-boutique-7774,12.17,help
19/02/2026 14:15,uptimelabs,online-boutique-7774,12.27,Use /incident followed by (description) to formally declare an incident
19/02/2026 14:16,PLAYER,online-boutique-7774,12.77,
19/02/2026 14:16,uptimelabs,business-comms-7774,12.77,"*Incident Number INC100095:* P2 ""website experiencing slowness impacting 20% customers"""
19/02/2026 14:16,uptimelabs,online-boutique-7774,12.77,:star: Incident record created
19/02/2026 14:16,daniel,online-boutique-7774,12.85,Really dont think we need an incident. As I said we have a bug already and really need to focus on delivery of new features.
19/02/2026 14:16,PLAYER,online-boutique-7774,13.55,"Hi Daniel, Can you please help me to analyze why this is causing ?"
19/02/2026 14:17,PLAYER,online-boutique-7774,13.98,"HI @shay , Please analyze why the website is causing the delay?"
19/02/2026 14:17,daniel,online-boutique-7774,14.12,I have no idea what's causing the issue
19/02/2026 14:17,daniel,online-boutique-7774,14.30,would you like to see the ticket logged from two weeks ago?
19/02/2026 14:17,shay,online-boutique-7774,14.43,I'll help where I can!
19/02/2026 14:18,shay,online-boutique-7774,14.62,Want to see the changes made recently?
19/02/2026 14:18,PLAYER,business-comms-7774,14.97,"HI @bez and @Tinus, There is a P2 issue created for website slowness impacting 20% customers, we are analysing the issue.."
19/02/2026 14:18,uptimelabs,online-boutique-7774,15.02,:star: Formally assign criticality level to the incident
19/02/2026 14:18,PLAYER,business-comms-7774,15.27,I will comeback in 5 mins and keep you posted
19/02/2026 14:18,uptimelabs,online-boutique-7774,15.32,:star: Track actions and time box them
