22,2025-09-29 15:17:08,Maya,private-comms-5992,"@player1 let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?"
23,2025-09-29 15:17:12,Maya,private-comms-5992,"I'd say one senior person each from security platform and engineering. Also add Tanya tasks could be platform intensive"
24,2025-09-29 15:17:45,player1,private-comms-5992,"Add Daniel Tanya"
25,2025-09-29 15:18:01,Maya,private-comms-5992,"I'll get them here"
26,2025-09-29 15:18:13,Daniel,private-comms-5992,"Yes i'm in"
27,2025-09-29 15:18:18,player1,private-comms-5992,"Also Tinus is suggesting Cyvantics Security on retainer"
28,2025-09-29 15:18:26,Tanya,private-comms-5992,"Hello"
29,2025-09-29 15:18:35,player1,private-comms-5992,"I reckon we should loop them in sooner rather than later"
30,2025-09-29 15:18:45,Maya,private-comms-5992,"Yes we've got an IR(incident response) retainer with Cyvantics Security"
31,2025-09-29 15:18:55,Maya,private-comms-5992,"I've called in Hamed as well"
32,2025-09-29 15:19:00,player1,private-comms-5992,"Ok"
33,2025-09-29 15:19:00,Maya,private-comms-5992,"Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage followed by forensics on it"
34,2025-09-29 15:19:07,player1,private-comms-5992,"Perfect"
35,2025-09-29 15:19:10,Maya,private-comms-5992,"Meanwhile I've got this from Cyvantics. @player1 can you help track the steps and coordinate?"
36,2025-09-29 15:19:12,Maya,private-comms-5992,"<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>"
37,2025-09-29 15:19:17,Maya,private-comms-5992,"We've got isolation steps in the playbook but before we dive in can you paste that list here? I'll help team run through it"
38,2025-09-29 15:19:22,player1,private-comms-5992,"Daniel What's our backups like?"
39,2025-09-29 15:19:40,Daniel,private-comms-5992,"Daniel has joined the channel"
40,2025-09-29 15:19:51,player1,private-comms-5992,"Daniel What's the backups looking like?"
41,2025-09-29 15:19:55,Daniel,private-comms-5992,"Haven't checked the backup in a while"
42,2025-09-29 15:20:07,player1,private-comms-5992,"Can you check now in case we need to roll back"
43,2025-09-29 15:20:32,player1,private-comms-5992,"Maya Steps for Isolation: Steps to be done mentioned along with the *owning* team 1. Disconnect the infected server -&gt; Platforms2. Cut off infrastructure traffic -&gt; Platforms 3. Disconnect DB &amp; freeze backup -&gt; Application 4. Detach from Shared Resource -&gt; Platforms 5. Take snapshots (Disk &amp; Memory) -&gt; Ask team 6. Kill suspicious process or activity -&gt; Platforms"
44,2025-09-29 15:20:40,Maya,private-comms-5992,"I've given write access to Tanya Hamed Daniel and myself"
45,2025-09-29 15:20:44,Tanya,private-comms-5992,"Disconnecting the checkout servers from the infra now"
46,2025-09-29 15:20:46,Daniel,private-comms-5992,"I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist"
47,2025-09-29 15:20:48,Hamed,private-comms-5992,"I'll verify if any shared storage is still attached to the checkout DB"
48,2025-09-29 15:20:50,Daniel,private-comms-5992,"Sure"
49,2025-09-29 15:20:54,player1,private-comms-5992,"Perfect thanks all"
